"","coordenadas","RECENCIA","FRECUENCIA","MAGNITUD","Segmento"
"643","-20,-179",125,6,4.55,5
"644","-20,-63",217,2,4.35,5
"645","-20,-64",0,0,0,8
"646","-20,-66",263,3,4.76666666666667,5
"647","-20,-67",67,48,3.66875,4
"648","-20,-68",5,549,3.23023679417122,2
"649","-20,-69",9,1034,3.14835589941973,2
"650","-20,-70",17,1123,3.46714158504007,2
"651","-20,-71",145,60,3.69666666666667,4
"652","-20,-72",84,1,3.7,5
"653","-20,118",620,1,2.8,3
"654","-20,119",828,1,4.5,6
"655","-20,120",0,0,0,8
"656","-20,126",432,1,3.7,3
"657","-20,133",853,1,4.2,6
"658","-20,14",1744,1,5,7
"659","-20,147",0,0,0,8
"660","-20,148",123,1,2,4
"661","-20,167",1564,1,4.8,7
"662","-20,168",12,46,4.75652173913043,5
"663","-20,169",17,30,4.95,5
"664","-20,170",1441,1,4.7,7
"665","-20,172",146,12,4.925,5
"666","-20,173",1379,1,6.1,7
"667","-20,174",231,4,4.85,5
"668","-20,176",1373,2,5.25,7
"669","-20,177",0,0,0,8
"670","-20,178",0,0,0,8
"671","-20,179",1286,1,4.7,7
"672","-20,23",347,1,3,3
"673","-20,33",10,4,2.8,4
"674","-20,64",0,0,0,8
"675","-20,66",437,5,5.08,3
"676","-20,67",154,5,4.78,5
"677","-20,68",357,2,4.75,3
"678","-21,-11",1230,1,4.7,6
"679","-21,-113",158,2,4.65,5
"680","-21,-114",1263,1,4.7,7
"681","-21,-15",890,1,5,6
"682","-21,-173",173,5,5.16,5
"683","-21,-174",15,29,5.11379310344828,5
"684","-21,-175",91,17,5.07647058823529,5
"685","-21,-176",25,13,4.86153846153846,5
"686","-21,-177",73,17,4.62941176470588,5
"687","-21,-178",1,55,4.73272727272727,5
"688","-21,-179",11,51,4.81176470588235,5
"689","-21,-63",517,1,4.1,3
"690","-21,-65",12,2,4.3,5
"691","-21,-66",28,33,4.23333333333333,5
"692","-21,-67",1,178,3.75,4
"693","-21,-68",1,2196,3.17887067395264,1
"694","-21,-69",11,399,3.07894736842105,4
"695","-21,-70",3,205,2.96731707317073,4
"696","-21,-71",125,11,3.2,4
"697","-21,114",0,0,0,8
"698","-21,115",432,1,3.3,3
"699","-21,120",283,3,3.43333333333333,5
"700","-21,135",0,0,0,8
"701","-21,16",0,0,0,8
"702","-21,167",902,1,4.8,6
"703","-21,168",180,9,4.63333333333333,5
"704","-21,169",130,19,4.88947368421053,5
"705","-21,170",3,40,4.935,5
"706","-21,171",817,1,4.8,6
"707","-21,172",0,0,0,8
"708","-21,173",140,3,4.86666666666667,5
"709","-21,174",0,0,0,8
"710","-21,175",349,1,5.9,5
"711","-21,176",1535,1,5.1,7
"712","-21,177",700,1,5.2,3
"713","-21,178",1821,1,5.1,7
"714","-21,179",0,0,0,8
"715","-21,26",0,0,0,8
"716","-21,27",0,0,0,8
"717","-21,29",137,1,2.4,4
"718","-21,32",0,0,0,8
"719","-21,33",25,12,3.23333333333333,4
"720","-21,68",361,3,4.6,3
"721","-21,89",696,1,5.3,3
"722","-22,-11",812,1,5.4,6
"723","-22,-112",0,0,0,8
